Order,Seasonal order,Result
"(0, 2, 2)","(2, 1, 1, 12)",46463.29027991353
"(0, 2, 2)","(2, 1, 2, 12)",45704.83596297359
"(0, 2, 2)","(2, 2, 0, 12)",72575.18240378813
"(0, 2, 2)","(2, 2, 1, 12)",55135.896778896735
"(0, 2, 2)","(2, 2, 2, 12)",50319.73219785111
"(1, 0, 0)","(0, 0, 0, 12)",46872.1618621917
"(1, 0, 0)","(0, 0, 1, 12)",46857.57972856696
"(1, 0, 0)","(0, 0, 2, 12)",46847.868143325766
"(1, 0, 0)","(0, 1, 0, 12)",63039.520916449124
"(1, 0, 0)","(0, 1, 1, 12)",44807.239064381836
"(1, 0, 0)","(0, 1, 2, 12)",44645.411251554775
"(1, 0, 0)","(0, 2, 0, 12)",89757.44915762669
"(1, 0, 0)","(0, 2, 1, 12)",63078.93951848597
"(1, 0, 0)","(0, 2, 2, 12)",45007.07140686757
"(1, 0, 0)","(1, 0, 0, 12)",46857.58148455863
"(1, 0, 0)","(1, 0, 1, 12)",44830.36242727438
"(1, 0, 0)","(1, 0, 2, 12)",44674.84647489723
"(1, 0, 0)","(1, 1, 0, 12)",56084.73115737051
"(1, 0, 0)","(1, 1, 1, 12)",44695.770610353495
"(1, 0, 0)","(1, 1, 2, 12)",43307.33007254665
"(1, 0, 0)","(1, 2, 0, 12)",75469.05778121998
"(1, 0, 0)","(1, 2, 1, 12)",56162.3699092885
"(1, 0, 0)","(1, 2, 2, 12)",44886.54900512236
"(1, 0, 0)","(2, 0, 0, 12)",46847.87353473217
"(1, 0, 0)","(2, 0, 1, 12)",44697.69911717859
"(1, 0, 0)","(2, 0, 2, 12)",43335.14997158764
"(1, 0, 0)","(2, 1, 0, 12)",53219.74152556395
"(1, 0, 0)","(2, 1, 1, 12)",44519.4945603561
"(1, 0, 0)","(2, 1, 2, 12)",43309.33766078837
"(1, 0, 0)","(2, 2, 0, 12)",71022.80555405567
"(1, 0, 0)","(2, 2, 1, 12)",53298.45861422824
"(1, 0, 0)","(2, 2, 2, 12)",44691.688333095575
"(1, 0, 1)","(0, 0, 0, 12)",46273.43578076818
